Soalan,Jawapan Dari Model,Jawapan Sebenarnya,Cosine_Similarity,BERTScore_F1,Semantic_Similarity,Jaccard_Similarity
what is financial literacy,"Financial literacy refers to the knowledge and skills needed to manage personal finances effectively. It involves understanding how to make informed decisions about money management, saving, investing, budgeting, and credit management. Financial literacy is not just about knowing how to handle money; it's also about developing a healthy relationship with money and making smart financial choices that can impact one's well-being and long-term goals.","Financial literacy is the knowledge and skills that help a person understand money and make smart decisions about managing it. This includes knowing how to budget, save, spend, borrow, invest, and plan for future financial needs such as education, housing, or retirement. Financial literacy also involves understanding concepts like credit, interest, insurance, and how financial products work so people can choose what?€?s best for their situation. Someone who is financially literate can analyse their financial options, manage their finances responsibly, and make informed choices that improve their long-term financial well-being.",0.478837795,0.76847553,0.975064039,0.270833333
What is saving?,"Saving refers to setting aside a portion of your money in a safe and stable place, such as a bank account or investment fund. It's not just about putting money away; it's about making conscious choices about how you use your money and ensuring that you have enough for your future needs.","Saving means setting aside a portion of your income instead of spending it now so that the money can be used later. It is the part of your earnings that is not used for immediate consumption but is kept for future needs, goals, or emergencies, often in a safe place like a savings account at a bank or another secure form. In personal finance, saving refers specifically to preserving money for future use rather than spending it on current expenses",0.343895131,0.7459402,0.916398168,0.25
What is budgeting?,"Budgeting refers to the process of managing one's expenses and financial resources effectively. It involves making conscious choices about how to allocate money towards different aspects of life, such as needs versus wants, short-term pleasures versus long-term financial security.","Budgeting means creating a plan that shows how you will spend and save your money so that your income is enough to cover your expenses and help you reach your financial goals. A budget lets you track how much money you get (your income) and how much you spend on things like bills, food, transport and other costs, and then decide in advance what should go where instead of guessing as you spend. It is a tool for managing your money responsibly, helping you see where your money is going, make informed choices about spending, and plan for saving and future needs.",0.150075697,0.69894826,0.892344832,0.141304348
What is income?,"Income refers to the money earned or received by an individual in exchange for their work, skills, or services. It's the primary source of revenue that allows individuals to support themselves and achieve their financial goals.","Income is the money or value that a person or business receives in exchange for work, services, selling goods, or from investments and other sources. For an individual, income usually includes wages or salaries from a job, money earned from investments like interest or dividends, and other earnings received over a period of time such as monthly or annually.",0.329614893,0.75376344,0.948652983,0.225806452
What is an expense?,"An expense refers to the amount of money spent or incurred by an individual or household for something that has value. Expenses can be categorized into two main types: fixed expenses and variable expenses. Fixed expenses are those that remain the same every month, such as rent, utilities, and loan payments. These expenses are considered essential because they are necessary for daily life.","An expense is money that you spend or have to pay for goods and services. In personal finance, expenses are the outflows of money from your income to cover things you need or choose to buy, such as food, transport, bills, clothes, school supplies and other living costs. An expense can be something you pay regularly, like rent or a phone bill, or something occasional, like new shoes or a repair.",0.313623394,0.7275067,0.855267048,0.191011236
What is interest?,"Interest is essentially the cost of borrowing money. Think of it like renting someone else's money for a period of time. When you borrow money, whether it's from a bank or through financing an item, you agree to pay back the amount borrowed plus some extra as a thank you for using their money. This extra amount is called interest.","Interest is the extra amount of money that is paid or earned in return for using someone?€?s money over time. When you borrow money, interest is the cost you pay on top of the original amount you borrowed, usually calculated as a percentage of that amount over a set period of time. When you save or lend money, interest is the reward you receive for letting others use your money, also usually expressed as a percentage of what you saved or lent. The percentage used to calculate this extra amount is called the interest rate, and it can change how much you pay or earn depending on the terms of the loan or savings product.",0.61757142,0.7483494,0.91188848,0.266666667
What is a bank account and what are the main types of bank accounts?,"A bank account is a financial account held at a banking institution, where you can manage your money, pay bills, and make transactions. Having a bank account allows you to keep track of your financial transactions, save money, and earn interest. There are several main types of bank accounts, including: Current Account (also known as Cheque Account): This type of account is designed for everyday transactions, such as paying bills, receiving salaries, and making purchases.
Savings Account: A savings account is a type of deposit account that earns interest on your deposited funds, allowing you to save money over time.
Fixed Deposit Account: Also known as Time Deposits, these accounts offer a fixed interest rate for a specific period, usually ranging from a few months to several years.","A bank account is a safe place at a bank or financial institution where you can keep your money, manage it, and use it when you need to pay for things or save for the future. When you deposit money into a bank account, the bank holds it for you, and you can usually withdraw it, transfer it, or use it to pay bills or receive money like wages and allowances. Bank accounts also help you keep records of your spending and saving and can sometimes earn interest over time. There are several main types of bank accounts, each designed for different purposes:

A checking account (also called a current account in some places) is meant for everyday use. It lets you easily deposit and withdraw money, pay bills, and use a debit card for purchases. These accounts usually offer quick access to your money but may earn little or no interest. A savings account is designed to help you set money aside and earn interest on what you save. You can still withdraw money when needed, but savings accounts are more about storing and growing money rather than spending it every day. A money market account is a type of savings account that often offers a higher interest rate while still allowing some access to your funds, sometimes including check writing or debit card use, though there may be limits on transactions. A certificate of deposit (CD) or fixed deposit account asks you to leave a sum of money in the bank for a set period in exchange for a higher interest rate. You usually pay a penalty if you take the money out before the term ends, but these accounts are useful for longer-term savings goals where you won?€?t need the cash right away.",0.54657686,0.77516365,0.850754321,0.290502793
What is debt and when is it necessary to borrow money?,"Debt is essentially borrowing money from someone or somewhere to use it for a specific purpose. It can be good debt or bad debt, depending on how you manage it. So, when is it necessary to borrow money? It's only necessary to take on debt when you have a solid plan in place and can repay the loan with interest. This means having a clear understanding of how much you need to borrow, how you'll use the funds, and how you'll manage your payments. By making informed decisions about borrowing, you can avoid getting trapped in costly debt and make progress towards your financial goals.","Debt is the money that someone borrows from another person, a bank, or an institution and is obligated to pay back later, usually with extra cost in the form of interest added on top of the amount borrowed. When you borrow money, you become a debtor, and the person or organization that lends the money is called a creditor. Debt can take many forms such as loans, mortgages, credit card balances, and other financial obligations where repayment is required by an agreed timeline. Borrowing money becomes necessary in situations where you cannot afford to pay for something important with your current funds but need it for a worthwhile purpose. For example, families and individuals often take on debt to buy a home or a car, to pay for higher education, or to invest in something that can improve future income or quality of life. These types of borrowing are usually planned, involve understanding repayment, and are taken when the borrower is confident they can manage the repayments.",0.451655327,0.70186645,0.805231333,0.194805195
What is investment and how is it different from saving?,"Saving and investing are two distinct concepts that often get mixed up. Saving refers to setting aside money for immediate needs or short-term goals, such as building an emergency fund or paying for daily expenses. The primary focus of saving is to preserve the principal amount and maintain its value over time. On the other hand, investing involves putting money into assets that have a potential for growth, such as stocks, bonds, or real estate. Investing aims to generate returns through dividends, interest, or capital appreciation, with the goal of achieving long-term financial goals.","Investment means putting your money into something with the expectation that it will grow in value or earn income over time. This can include things like buying stocks, bonds, property, or other assets where you hope the value will increase or provide returns such as dividends or interest. When you invest, you are typically willing to take on some level of risk because higher risk often comes with a chance of higher returns over the long term. Investment differs from saving in several important ways. Saving means setting money aside in a safe place, like a bank account, where the risk of losing the money is very low and you can access it easily when needed. The purpose of saving is mainly to preserve your money for short-term goals or emergencies, and it usually earns only a small amount of interest. Investing, on the other hand, is aimed at growing your money over the long term and can involve more risk because the value of investments can go up or down. While savings provide security and easy access, investments offer the potential for greater growth but without a guarantee of returns.",0.484290804,0.7498651,0.733203053,0.213836478
What is insurance and why do people need it?,"Insurance is a financial protection plan that helps cover unexpected medical expenses when you're unable to pay for them out-of-pocket. It's like having a safety net that ensures you can receive quality care without breaking the bank. People need insurance because it provides peace of mind and financial security in case of unexpected medical events, such as heart disease or hospital stays. Without insurance, these costs can be overwhelming and may even require selling assets or taking on debt to cover expenses. Insurance helps prevent this by covering a significant portion of medical bills, allowing you to focus on getting better rather than worrying about the cost.","Insurance is a financial arrangement or legal contract between a person (or business) and an insurance company where the person pays regular amounts called premiums, and in return the insurer agrees to provide financial protection or compensation if specific unexpected events happen. These events might include things like an accident, illness, damage to property, or loss of life, and the goal of insurance is to reduce the financial burden when such losses occur by covering all or part of the costs. People need insurance because life is unpredictable and unexpected costs can be very high. Without insurance, incidents such as a serious illness, a car accident, or damage to important belongings could require a large amount of money that many individuals or families might not be able to pay from their savings. Insurance acts as a safety net that helps protect financial stability, provides peace of mind, and ensures that you or your family have support to cover major expenses during difficult times. It makes it easier to focus on daily life and long-term plans without worrying that a sudden loss could ruin your finances.",0.504572244,0.7389538,0.823339581,0.25748503
