Soalan,Cosine_Similarity,BERTScore_F1,Semantic_Similarity,Jaccard_Similarity,Average_Score
what is financial literacy,0.4788377953405293,0.76847553,0.9750640392303467,0.2708333333333333,0.7407924557008715
What is saving?,0.34389513112817915,0.7459402,0.9163981676101685,0.25,0.6687445023911355
What is budgeting?,0.1500756967253648,0.69894826,0.8923448324203491,0.14130434782608695,0.5804562644225744
What is income?,0.3296148926529964,0.75376344,0.948652982711792,0.22580645161290322,0.6773437708786355
What is an expense?,0.3136233939352647,0.7275067,0.8552670478820801,0.19101123595505617,0.6321323796650772
What is interest?,0.6175714200969037,0.7483494,0.9118884801864624,0.26666666666666666,0.7592697761534154
What is a bank account and what are the main types of bank accounts?,0.5465768604861656,0.77516365,0.8507543206214905,0.2905027932960894,0.7241649438734505
What is debt and when is it necessary to borrow money?,0.45165532712158635,0.70186645,0.8052313327789307,0.19480519480519481,0.6529177026086949
What is investment and how is it different from saving?,0.48429080419016557,0.7498651,0.7332030534744263,0.2138364779874214,0.6557863241178218
What is insurance and why do people need it?,0.5045722436278657,0.7389538,0.823339581489563,0.25748502994011974,0.6889552179763582
What is inflation and how does it affect purchasing power?,0.6135591953129458,0.7534645,0.847832202911377,0.2857142857142857,0.7382853060672975
What is EPF (Employees Provident Fund) and how does it help Malaysians save for retirement?,0.28863778672200247,0.7318978,0.86208176612854,0.13725490196078433,0.6275391080696775
What tax reliefs and deductions are available for Malaysian taxpayers?,0.4354782031973186,0.73271626,0.8551927804946899,0.18571428571428572,0.6744624153441846
What is the difference between conventional banking and Islamic banking in Malaysia?,0.4786947229522792,0.7437351,0.7102866172790527,0.1813186813186813,0.6442388050760934
What is the difference between needs and wants?,0.38316811594304917,0.74120575,0.8863539695739746,0.21476510067114093,0.6702426124709762
What is Amanah Saham Bumiputera (ASB) and who can invest in it?,0.48213039649413714,0.7317311,0.8310420513153076,0.17318435754189945,0.6816345215270476
"What is the difference between SOCSO, EIS, and EPF contributions for Malaysian employees?",0.5209642366682858,0.72806156,0.779363751411438,0.19090909090909092,0.6761298482986083
What are the different types of income?,0.48148208602367765,0.7312341,0.7977290153503418,0.22058823529411764,0.6701483916709785
What strategies can be used to pay off credit card debt faster?,0.3454136358265241,0.71100104,0.7269478440284729,0.17365269461077845,0.5944541728021092
What is diversification and why is it important in investing?,0.5081241634914725,0.7509766,0.9178219437599182,0.26136363636363635,0.7256409097853451
